t_wall_iso,t_elapsed_s,frame_ag_two,cumulativeRewardAgent,cumulativeRewardAverage_two,epsilon_two,hits_counter,episodes
2025-11-18T10:57:45,337.287,49458,-0.9362482973932561,-0.9066944242759715,0.95103757,0,235
2025-11-18T10:57:50,341.897,49588,-0.9362482973932561,-0.9069199881857459,0.95090887,0,236
2025-11-18T10:57:55,346.617,50759,-0.681607848694215,-0.9045496774661694,0.94974958,2,237
2025-11-18T10:57:57,349.282,51410,-0.826371682066292,-0.9039021930502387,0.94910509,1,238
2025-11-18T10:57:58,349.812,51541,-0.9062329056142627,-0.903699783493351,0.9489754,0,239
2025-11-18T10:57:58,350.344,51672,-0.9013456875691499,-0.9033507573951098,0.94884571,0,240
2025-11-18T10:58:03,354.935,51802,-0.9336765146368191,-0.9033250395675455,0.94871701,0,241
2025-11-18T10:58:03,355.479,51933,-0.9336765146368191,-0.9034227839284477,0.94858732,0,242
2025-11-18T10:58:06,358.092,52584,-0.8113340880813296,-0.9024743937150275,0.94794283,1,243
2025-11-18T10:58:07,358.615,52715,-0.9062329056142627,-0.902399803707012,0.94781314,0,244
2025-11-18T10:58:07,359.14,52846,-0.9212107034082937,-0.9022494277671624,0.94768345,0,245
2025-11-18T10:58:12,363.742,52976,-0.9437670943857372,-0.9026975480679142,0.94755475,0,246
2025-11-18T10:58:12,364.267,53107,-0.9136765146368191,-0.9026222061801994,0.94742506,0,247
2025-11-18T10:58:13,364.786,53238,-0.9411953116293003,-0.90267167632256,0.94729537,0,248
2025-11-18T10:58:15,367.378,53889,-0.816034332971302,-0.9013943487084155,0.94665088,1,249
2025-11-18T10:58:16,367.945,54020,-0.8861731094233313,-0.9012426229269573,0.94652119,0,250
2025-11-18T10:58:23,374.759,54670,-0.8388528850738108,-0.9002686688037628,0.94587769,1,251
2025-11-18T10:58:23,375.309,54801,-0.9186389206518567,-0.9004416011345898,0.945748,0,252
2025-11-18T10:58:24,375.878,54932,-0.9036013266668943,-0.9000399434574013,0.94561831,0,253
2025-11-18T10:58:24,376.414,55063,-0.9211953116293002,-0.9001903193972512,0.94548862,0,254
2025-11-18T10:58:25,376.946,55194,-0.9088046883706997,-0.900965025400145,0.94535893,0,255
2025-11-18T10:58:30,381.638,55324,-0.9136919064158124,-0.9007394614903704,0.94523023,0,256
2025-11-18T10:58:30,382.184,55455,-0.9212107034082937,-0.9020637915534145,0.94510054,0,257
2025-11-18T10:58:31,382.776,55586,-0.9212107034082937,-0.9021646973509035,0.94497085,0,258
2025-11-18T10:58:31,383.408,55717,-0.9212107034082937,-0.9020400392386183,0.94484116,0,259
2025-11-18T10:58:32,384.026,55848,-0.9013456875691499,-0.9016910131403771,0.94471147,0,260
2025-11-18T10:58:37,388.636,55978,-0.9088644845616312,-0.9015677048697005,0.94458277,0,261
2025-11-18T10:58:37,389.177,56109,-0.9087295004007748,-0.9013182347273401,0.94445308,0,262
2025-11-18T10:58:38,389.752,56240,-0.9336765146368191,-0.9014686106671899,0.94432339,0,263
2025-11-18T10:58:38,390.275,56371,-0.9313610793481433,-0.9015206442842278,0.9441937,0,264
2025-11-18T10:58:39,390.826,56502,-0.9287295004007748,-0.9015206442842277,0.94406401,0,265
2025-11-18T10:58:43,395.459,56632,-0.9287295004007748,-0.901445456314303,0.94393531,0,266
2025-11-18T10:58:44,395.989,56763,-0.9437670943857372,-0.9027724079885978,0.94380562,0,267
2025-11-18T10:58:44,396.528,56894,-0.9264738613030306,-0.9027724079885978,0.9436759299999999,0,268
2025-11-18T10:58:45,397.075,57025,-0.8861731094233313,-0.9025724079885977,0.94354624,0,269
2025-11-18T10:58:46,397.635,57156,-0.9336765146368191,-0.902873159868297,0.94341655,0,270
2025-11-18T10:58:50,402.291,57286,-0.9212107034082937,-0.9028988776958614,0.94328785,0,271
2025-11-18T10:58:51,402.852,57417,-0.9239020785465936,-0.904124923572667,0.94315816,0,272
2025-11-18T10:58:51,403.446,57548,-0.9287892965917063,-0.9043993596628926,0.94302847,0,273
2025-11-18T10:58:52,404.019,57679,-0.9336765146368191,-0.9046737957531181,0.94289878,0,274
